"word" "definition"
"의" "((체언 뒤에 붙어))"
"의" "앞 체언이 관형어 구실을 하게 하며, 뒤 체언이 나타내는 대상이 앞 체언에 소유되거나 소속됨을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 행동이나 작용의 주체임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 대상을 만들거나 이룬 형성자임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언의 과정이나 목표 따위의 대상임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 행동의 대상임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 뒤 체언이 나타내는 사실이나 상태가 앞의 체언에 관한 것임을 나타내는 말."
"의" "앞 체언이 관형어 구실을 하게 하며, 뒤 체언에 오는 인물의 행동이나 행위가 앞 체언이 나타내는 사건이나 사물을 대상으로 하고 있음을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 뒤 체언이 지니고 있는 정보가 앞 체언의 속성 따위임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 속성의 보유자임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 뒤 체언이 앞 체언이 나타내는 어떤 동작을 주된 목적이나 기능으로 하는 것임을 나타내는 말."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언과 뒤 체언이 의미적으로 동격임을 나타내는 말."
"의" "앞 체언이 관형어 구실을 하게 하며, 관계를 나타내는 뒤의 체언이 앞 체언과 사회적ㆍ친족적 관계에 있음을 나타내는 말."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 사물이 일어나거나 위치한 곳임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 사물이 일어나거나 위치한 때임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언의 정도나 수량을 한정함을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 전체와 부분의 관계를 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언이 나타내는 사물의 특성을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언에 대하여 비유의 대상임을 나타내는 말."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤 체언의 재료임을 나타내는 말."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 어떤 결과를 낳는 행동임을 나타내는 격 조사."
"의" "앞 체언이 관형어 구실을 하게 하며, 앞 체언이 뒤에 연결되는 조사의 의미 특성을 가지고 뒤 체언을 꾸미는 기능을 가짐을 나타내는 격 조사."
